GEO_ID	REGION	DIVISION	STATEFP	STATENS	STUSPS	NAME	LAT	LON	"LAT,LON"	ID	ADDRESS
1	3	5	12	294478	FL	Florida	24.641606	-81.692898	"24.641606,-81.692898"	1	"60 Riviera Rd, Key West, FL 33040, USA"
2	3	7	48	1779801	TX	Texas	26.247648	-98.193663	"26.247648,-98.193663"	2	"5300-5998 N Jackson Rd, McAllen, TX 78504, USA"
3	3	7	48	1779801	TX	Texas	26.259717	-97.574192	"26.259717,-97.574192"	3	"20584-20698 N Robertson Rd, Rio Hondo, TX 78583, USA"
4	3	5	12	294478	FL	Florida	25.096318	-80.990754	"25.096318,-80.990754"	4	"Coastal Prairie Trail, Everglades National Park, Homestead, FL 33034, USA"
5	3	7	48	1779801	TX	Texas	26.7906	-98.833033	"26.7906,-98.833033"	5	"San Roman Rch, Rio Grande City, TX 78582, USA"
6	3	7	48	1779801	TX	Texas	26.806786	-98.209358	"26.806786,-98.209358"	6	"Unnamed Rd, TX, USA"
7	3	7	48	1779801	TX	Texas	26.818968	-97.585457	"26.818968,-97.585457"	7	"Unnamed Rd, TX, USA"
8	3	5	12	294478	FL	Florida	25.644706	-80.885451	"25.644706,-80.885451"	8	"Unnamed Rd, Big Cypress National Preserve, Ochopee, FL 34141, USA"
9	3	5	12	294478	FL	Florida	25.546709	-80.280562	"25.546709,-80.280562"	9	"SW 87th Ave, Miami, FL 33190, USA"
10	3	7	48	1779801	TX	Texas	27.330421	-99.481311	"27.330421,-99.481311"	10	"Unnamed Rd, Laredo, TX 78046, USA"
11	3	7	48	1779801	TX	Texas	27.350796	-98.853443	"27.350796,-98.853443"	11	"Unnamed Rd, TX, USA"
12	3	7	48	1779801	TX	Texas	27.367133	-98.22528	"27.367133,-98.22528"	12	"Farm to Market 716, Premont, TX 78375, USA"
13	3	7	48	1779801	TX	Texas	27.379429	-97.596885	"27.379429,-97.596885"	13	"Unnamed Rd, TX, USA"
14	3	5	12	294478	FL	Florida	26.289334	-81.389156	"26.289334,-81.389156"	14	"10805 Oil Well Rd, Ave Maria, FL 34142, USA"
15	3	5	12	294478	FL	Florida	26.194237	-80.778675	"26.194237,-80.778675"	15	"Alligator Alley, Big Cypress National Preserve, FL, USA"
16	3	5	12	294478	FL	Florida	26.095332	-80.169697	"26.095332,-80.169697"	16	"1347-1449 SW 20th Terrace, Fort Lauderdale, FL 33312, USA"
17	3	7	48	1779801	TX	Texas	27.891592	-99.506565	"27.891592,-99.506565"	17	"Unnamed Rd, Laredo, TX 78045, USA"
18	3	7	48	1779801	TX	Texas	27.912156	-98.87415	"27.912156,-98.87415"	18	"Unnamed Rd, Encinal, TX 78019, USA"
19	3	7	48	1779801	TX	Texas	27.928645	-98.241432	"27.928645,-98.241432"	19	"County Road 105, San Diego, TX 78384, USA"
20	3	7	48	1779801	TX	Texas	27.941056	-97.608479	"27.941056,-97.608479"	20	"15681 County Road 54, Odem, TX 78370, USA"
21	3	7	48	1779801	TX	Texas	27.949387	-96.975356	"27.949387,-96.975356"	21	"910 N Fulton Beach Rd, Fulton, TX 78382, USA"
22	3	5	12	294478	FL	Florida	26.932959	-81.901184	"26.932959,-81.901184"	22	"32950 County Road 74, Punta Gorda, FL 33982, USA"
23	3	5	12	294478	FL	Florida	26.840845	-81.285049	"26.840845,-81.285049"	23	"Unnamed Rd, Moore Haven, FL 33471, USA"
24	3	5	12	294478	FL	Florida	26.744869	-80.670395	"26.744869,-80.670395"	24	"Old Vandergrift Rd, Belle Glade, FL 33430, USA"
25	3	5	12	294478	FL	Florida	26.645051	-80.057275	"26.645051,-80.057275"	25	"8111 S Dixie Hwy, West Palm Beach, FL 33405, USA"
26	3	7	48	1779801	TX	Texas	28.42902	-100.168838	"28.42902,-100.168838"	26	"Unnamed Rd, TX, USA"
27	3	7	48	1779801	TX	Texas	28.453884	-99.532187	"28.453884,-99.532187"	27	"Diamond H Rd, Big Wells, TX 78830, USA"
28	3	7	48	1779801	TX	Texas	28.474639	-98.895159	"28.474639,-98.895159"	28	"Unnamed Rd, Fowlerton, TX 78021, USA"
29	3	7	48	1779801	TX	Texas	28.491281	-98.257821	"28.491281,-98.257821"	29	"Unnamed Rd, Three Rivers, TX 78071, USA"
30	3	7	48	1779801	TX	Texas	28.503807	-97.620242	"28.503807,-97.620242"	30	"6400-6824 County Road 417, Beeville, TX 78102, USA"
31	3	7	48	1779801	TX	Texas	28.512215	-96.98249	"28.512215,-96.98249"	31	"Unnamed Rd, Tivoli, TX 77990, USA"
32	3	7	48	1779801	TX	Texas	28.516502	-96.344633	"28.516502,-96.344633"	32	"Collegeport, TX 77428, USA"
33	3	5	12	294478	FL	Florida	27.575429	-82.421707	"27.575429,-82.421707"	33	"12275 County Road 675, Parrish, FL 34219, USA"
34	3	5	12	294478	FL	Florida	27.486381	-81.799858	"27.486381,-81.799858"	34	"S Myrtle, Zolfo Springs, FL 33890, USA"
35	3	5	12	294478	FL	Florida	27.393418	-81.179463	"27.393418,-81.179463"	35	"Rattlesnake Hammock Rd, Lorida, FL 33857, USA"
36	3	5	12	294478	FL	Florida	27.296558	-80.560579	"27.296558,-80.560579"	36	"8900-9182 Germany Canal Rd, Port St Lucie, FL 34987, USA"
37	3	7	48	1779801	TX	Texas	28.992158	-100.199511	"28.992158,-100.199511"	37	"Farm to Market 481, Eagle Pass, TX 78852, USA"
38	3	7	48	1779801	TX	Texas	29.017251	-99.558187	"29.017251,-99.558187"	38	"Unnamed Rd, Batesville, TX 78829, USA"
39	3	7	48	1779801	TX	Texas	29.038198	-98.916477	"29.038198,-98.916477"	39	"Pr 2707, Bigfoot, TX 78005, USA"
40	3	7	48	1779801	TX	Texas	29.054995	-98.274451	"29.054995,-98.274451"	40	"2627 County Road 136, Floresville, TX 78114, USA"
41	3	7	48	1779801	TX	Texas	29.067637	-97.632179	"29.067637,-97.632179"	41	"8828-9690 State Highway 119, Yorktown, TX 78164, USA"
