GEO_ID	REGION	DIVISION	STATEFP	STATENS	STUSPS	NAME	LAT	LON	"LAT,LON"	ADDRESS	STREET	CITY	COUNTRY
1	3	5	12	294478	FL	Florida	24.641606	-81.692898	"24.641606,-81.692898"	"60 Riviera Rd,Key West,FL 33040,USA"	60 Riviera Rd	Key West	USA
2	3	7	48	1779801	TX	Texas	26.247648	-98.193663	"26.247648,-98.193663"	"5300-5998 N Jackson Rd,McAllen,TX 78504,USA"	5300-5998 N Jackson Rd	McAllen	USA
3	3	7	48	1779801	TX	Texas	26.259717	-97.574192	"26.259717,-97.574192"	"20584-20698 N Robertson Rd,Rio Hondo,TX 78583,USA"	20584-20698 N Robertson Rd	Rio Hondo	USA
4	3	5	12	294478	FL	Florida	25.096318	-80.990754	"25.096318,-80.990754"	"Coastal Prairie Trail,Everglades National Park,Homestead,FL 33034,USA"	Coastal Prairie TrailEverglades National Park	Homestead	USA
5	3	7	48	1779801	TX	Texas	26.7906	-98.833033	"26.7906,-98.833033"	"San Roman Rch,Rio Grande City,TX 78582,USA"	San Roman Rch	Rio Grande City	USA
6	3	7	48	1779801	TX	Texas	26.806786	-98.209358	"26.806786,-98.209358"	"Unnamed Rd,TX,USA"		Unnamed Rd	USA
7	3	7	48	1779801	TX	Texas	26.818968	-97.585457	"26.818968,-97.585457"	"Unnamed Rd,TX,USA"		Unnamed Rd	USA
8	3	5	12	294478	FL	Florida	25.644706	-80.885451	"25.644706,-80.885451"	"Unnamed Rd,Big Cypress National Preserve,Ochopee,FL 34141,USA"	Unnamed RdBig Cypress National Preserve	Ochopee	USA
9	3	5	12	294478	FL	Florida	25.546709	-80.280562	"25.546709,-80.280562"	"SW 87th Ave,Miami,FL 33190,USA"	SW 87th Ave	Miami	USA
10	3	7	48	1779801	TX	Texas	27.330421	-99.481311	"27.330421,-99.481311"	"Unnamed Rd,Laredo,TX 78046,USA"	Unnamed Rd	Laredo	USA
11	3	7	48	1779801	TX	Texas	27.350796	-98.853443	"27.350796,-98.853443"	"Unnamed Rd,TX,USA"		Unnamed Rd	USA
12	3	7	48	1779801	TX	Texas	27.367133	-98.22528	"27.367133,-98.22528"	"Farm to Market 716,Premont,TX 78375,USA"	Farm to Market 716	Premont	USA
13	3	7	48	1779801	TX	Texas	27.379429	-97.596885	"27.379429,-97.596885"	"Unnamed Rd,TX,USA"		Unnamed Rd	USA
14	3	5	12	294478	FL	Florida	26.289334	-81.389156	"26.289334,-81.389156"	"10805 Oil Well Rd,Ave Maria,FL 34142,USA"	10805 Oil Well Rd	Ave Maria	USA
15	3	5	12	294478	FL	Florida	26.194237	-80.778675	"26.194237,-80.778675"	"Alligator Alley,Big Cypress National Preserve,FL,USA"	Alligator Alley	Big Cypress National Preserve	USA
16	3	5	12	294478	FL	Florida	26.095332	-80.169697	"26.095332,-80.169697"	"1347-1449 SW 20th Terrace,Fort Lauderdale,FL 33312,USA"	1347-1449 SW 20th Terrace	Fort Lauderdale	USA
17	3	7	48	1779801	TX	Texas	27.891592	-99.506565	"27.891592,-99.506565"	"Unnamed Rd,Laredo,TX 78045,USA"	Unnamed Rd	Laredo	USA
18	3	7	48	1779801	TX	Texas	27.912156	-98.87415	"27.912156,-98.87415"	"Unnamed Rd,Encinal,TX 78019,USA"	Unnamed Rd	Encinal	USA
19	3	7	48	1779801	TX	Texas	27.928645	-98.241432	"27.928645,-98.241432"	"County Road 105,San Diego,TX 78384,USA"	County Road 105	San Diego	USA
20	3	7	48	1779801	TX	Texas	27.941056	-97.608479	"27.941056,-97.608479"	"15681 County Road 54,Odem,TX 78370,USA"	15681 County Road 54	Odem	USA
21	3	7	48	1779801	TX	Texas	27.949387	-96.975356	"27.949387,-96.975356"	"910 N Fulton Beach Rd,Fulton,TX 78382,USA"	910 N Fulton Beach Rd	Fulton	USA
22	3	5	12	294478	FL	Florida	26.932959	-81.901184	"26.932959,-81.901184"	"32950 County Road 74,Punta Gorda,FL 33982,USA"	32950 County Road 74	Punta Gorda	USA
23	3	5	12	294478	FL	Florida	26.840845	-81.285049	"26.840845,-81.285049"	"Unnamed Rd,Moore Haven,FL 33471,USA"	Unnamed Rd	Moore Haven	USA
24	3	5	12	294478	FL	Florida	26.744869	-80.670395	"26.744869,-80.670395"	"Old Vandergrift Rd,Belle Glade,FL 33430,USA"	Old Vandergrift Rd	Belle Glade	USA
25	3	5	12	294478	FL	Florida	26.645051	-80.057275	"26.645051,-80.057275"	"8111 S Dixie Hwy,West Palm Beach,FL 33405,USA"	8111 S Dixie Hwy	West Palm Beach	USA
26	3	7	48	1779801	TX	Texas	28.42902	-100.168838	"28.42902,-100.168838"	"Unnamed Rd,TX,USA"		Unnamed Rd	USA
27	3	7	48	1779801	TX	Texas	28.453884	-99.532187	"28.453884,-99.532187"	"Diamond H Rd,Big Wells,TX 78830,USA"	Diamond H Rd	Big Wells	USA
28	3	7	48	1779801	TX	Texas	28.474639	-98.895159	"28.474639,-98.895159"	"Unnamed Rd,Fowlerton,TX 78021,USA"	Unnamed Rd	Fowlerton	USA
29	3	7	48	1779801	TX	Texas	28.491281	-98.257821	"28.491281,-98.257821"	"Unnamed Rd,Three Rivers,TX 78071,USA"	Unnamed Rd	Three Rivers	USA
30	3	7	48	1779801	TX	Texas	28.503807	-97.620242	"28.503807,-97.620242"	"6400-6824 County Road 417,Beeville,TX 78102,USA"	6400-6824 County Road 417	Beeville	USA
31	3	7	48	1779801	TX	Texas	28.512215	-96.98249	"28.512215,-96.98249"	"Unnamed Rd,Tivoli,TX 77990,USA"	Unnamed Rd	Tivoli	USA
32	3	7	48	1779801	TX	Texas	28.516502	-96.344633	"28.516502,-96.344633"	"Collegeport,TX 77428,USA"		Collegeport	USA
33	3	5	12	294478	FL	Florida	27.575429	-82.421707	"27.575429,-82.421707"	"12275 County Road 675,Parrish,FL 34219,USA"	12275 County Road 675	Parrish	USA
